LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community,List Price,Type,Style,BR,(+),Wr,Fam,Kit,Gar Type,(A/C),Heat,Contract Date ,List Brokerage,Co-Op Brokerage,CB Com,MLS #
New,,191 Argyle St,,,,Toronto C01,Little Portugal,"$1,649,900",Detached,2-Storey,3,,2,Y,1,Detached,Central Air,Electric,12/1/2021,SAM MCDADI REAL ...,905-502-1500,2.5% + Hst,C5446704
New,,308 Merton St,,,,Toronto C10,Mount Pleasant West,"$1,649,900",Semi-Detached,3-Storey,3,,3,N,1,Attached,Central Air,Gas,12/16/2021,SOTHEBY`S INTERN...,416-960-9995,2.50%,C5457305
New,,270 Brighton Ave,,,,Toronto C06,Bathurst Manor,"$1,650,000",Detached,Bungalow,3,,2,N,1,Carport,Central Air,Gas,11/30/2021,EASY LIST REALTY...,800-831-3726,Seller Wil...,C5445192
New,,264 Milan St,,,,Toronto C08,Moss Park,"$1,688,000",Detached,3-Storey,2,1,5,Y,2,None,Central Air,Gas,1/10/2022,"TFN REALTY INC.,...",416-789-0288,2.5 % + Hs...,C5468708
New,,11 Hanson Rd,,,,Toronto C03,Oakwood-Vaughan,"$1,689,000",Detached,2-Storey,8,2,5,N,3,Detached,Wall Unit,Gas,11/28/2021,RE/MAX HALLMARK ...,905-883-4922,2.5 % +Hst,C5448064
New,,256 Major St,,,,Toronto C01,University,"$1,695,000",Semi-Detached,2 1/2 Storey,6,1,4,Y,2,None,None,Gas,1/11/2022,COLDWELL BANKER ...,905-670-4455,2.5% + Hst,C5469362
New,,74 Oxford St,,,,Toronto C01,Kensington-Chinatown,"$1,698,988",Att/Row/Twnhouse,2 1/2 Storey,3,1,3,N,2,None,None,Gas,12/5/2021,SUTTON GROUP-ADM...,416-739-7200,2.5%+Hst,C5449166
New,,1229 Bloor St W,,,,Toronto C01,Dufferin Grove,"$1,699,000",Store w/Apt/Offc,2-Storey,5,,4,N,2,Other,None,Gas,7/26/2021,IPRO REALTY LTD....,416-604-0006,2.25%,C5322171
New,,288 Markham St,,,,Toronto C01,Trinity-Bellwoods,"$1,699,000",Semi-Detached,2-Storey,5,,2,N,1,Attached,Central Air,Gas,1/4/2022,ROYAL ELITE REAL...,905-604-9155,2.25%,C5463518
New,,625 Crawford St,,,,Toronto C01,Palmerston-Little Italy,"$1,699,990",Detached,2-Storey,3,,1,Y,1,Detached,Central Air,Gas,12/3/2021,CENTURY 21 ATRIA...,416-218-8880,2.50%,C5447941
New,,73 Hocken Ave,,,,Toronto C02,Wychwood,"$1,738,000",Detached,2-Storey,2,1,1,N,1,None,Window Unit,Gas,1/11/2022,RE/MAX REALTRON ...,416-222-2600,2.5% + Hst,C5469532
New,,308 Ridley Blvd,,,,Toronto C07,Lansing-Westgate,"$1,750,000",Detached,2-Storey,4,,3,N,1,Detached,None,Gas,12/16/2021,EASY LIST REALTY...,800-831-3726,Seller Wil...,C5457620
New,,34 Nassau St,,,,Toronto C01,Kensington-Chinatown,"$1,750,000",Semi-Detached,2 1/2 Storey,5,,3,N,1,Detached,Central Air,Gas,1/6/2022,ROYAL LEPAGE REA...,416-487-4311,2.5 %,C5466178
New,,114 Marchmount Rd,,,,Toronto C02,Wychwood,"$1,799,000",Semi-Detached,2 1/2 Storey,3,1,4,N,2,Detached,Central Air,Gas,12/8/2021,HOMELIFE REGIONA...,416-535-3107,2.5% Plus ...,C5451255
New,,42 Dupont St,,,,Toronto C02,Annex,"$1,799,000",Semi-Detached,2 1/2 Storey,5,1,3,Y,2,None,Window Unit,Gas,12/13/2021,RE/MAX ULTIMATE ...,416-487-5131,2.50%,C5455221
New,,34 Pannahill Rd,,,,Toronto C06,Bathurst Manor,"$1,799,000",Detached,Sidesplit 4,3,2,4,N,1,Attached,Central Air,Gas,1/11/2022,"JDL REALTY INC.,...",905-731-2266,2.50%,C5470023
New,,201 Christie St,,,,Toronto C02,Annex,"$1,799,900",Detached,2 1/2 Storey,4,1,3,Y,3,None,Central Air,Gas,12/20/2021,CENTURY 21 ATRIA...,416-203-8838,2.5% + Hst,C5459017
New,,1413 Bloor St W,,,,Toronto C01,Dufferin Grove,"$1,800,000",Att/Row/Twnhouse,3-Storey,5,1,4,N,3,None,Central Air,Gas,7/26/2021,"THE AGENCY, BROK...",416-847-5288,2.50% Plus...,C5319358
New,,111 Clanton Park Rd,,,,Toronto C06,Clanton Park,"$1,800,000",Detached,Bungaloft,3,,1,Y,1,Built-In,None,Gas,9/17/2021,INTERCITY REALTY...,416-798-7070,2.50%,C5374928
New,,5 Charlton Blvd,,,,Toronto C07,Newtonbrook West,"$1,800,000",Detached,Backsplit 5,4,2,3,Y,1,Attached,Central Air,Gas,12/2/2021,CENTURY 21 LEADI...,416-494-5955,2.50%,C5447552
New,,29 Moore Park Ave,,,,Toronto C07,Newtonbrook West,"$1,800,000",Detached,Bungalow,5,2,4,N,1,Other,Central Air,Gas,1/1/2022,T-ONE GROUP REAL...,905-669-8881,3%,C5462553
New,,368 Brookdale Ave,,,,Toronto C04,Bedford Park-Nortown,"$1,849,000",Detached,2-Storey,3,1,4,Y,1,None,Central Air,Gas,1/10/2022,RE/MAX HALLMARK ...,416-486-5588,2.50%,C5468926
New,,173 Yorkview Dr,,,,Toronto C07,Willowdale West,"$1,860,000",Detached,Bungalow-Raised,3,2,2,N,1,Attached,Central Air,Gas,1/10/2022,AIMHOME REALTY I...,905-276-0880,2.50%,C5468261
New,,281 1/2 George St,,,,Toronto C08,Moss Park,"$1,880,000",Semi-Detached,3-Storey,6,2,4,N,1,None,Central Air,Gas,12/10/2021,COLDWELL BANKER ...,519-471-9200,2.5%+Hst,C5453698
New,,43 Rusholme Park Cres N,,,,Toronto C01,Little Portugal,"$1,888,888",Detached,2 1/2 Storey,6,2,3,N,1,None,Central Air,Gas,12/13/2021,RIGHT AT HOME RE...,416-391-3232,2.25%,C5454899
New,,625 Davenport Rd,,,,Toronto C02,Casa Loma,"$1,888,888",Semi-Detached,2 1/2 Storey,4,2,4,N,1,None,Central Air,Gas,1/11/2022,SUTTON GROUP-ADM...,416-739-7200,2.5% - $50...,C5469909
New,,1103 College St,,,,Toronto C01,Little Portugal,"$1,899,000",Triplex,2 1/2 Storey,2,,5,N,4,None,None,Gas,12/3/2021,ROYAL LEPAGE MAC...,905-574-3038,2% + Hst,C5448479
New,,91 Montrose Ave,,,,Toronto C01,Palmerston-Little Italy,"$1,899,000",Att/Row/Twnhouse,3-Storey,3,,4,N,1,None,Window Unit,Gas,12/7/2021,ROYAL LEPAGE YOU...,416-637-8000,2.5 % Plus...,C5450939
New,,140 Hillmount Ave,,,,Toronto C04,Englemount-Lawrence,"$1,948,000",Detached,Bungalow,3,1,1,N,1,Attached,None,Gas,12/20/2021,RE/MAX WEST REAL...,416-760-0600,2.5% **,C5459018
New,,84 Benson Ave,,,,Toronto C02,Wychwood,"$1,949,000",Semi-Detached,3-Storey,5,,3,Y,3,Detached,Central Air,Gas,12/2/2021,MAX REALTY SOLUT...,416-880-9090,2.25%,C5446922
New,,477 Davisville Ave,,,,Toronto C10,Mount Pleasant East,"$1,998,000",Detached,2-Storey,1,,4,N,1,Carport,Wall Unit,Solar,1/10/2022,ROYAL LEPAGE SIG...,416-443-0300,2.50%,C5468362
New,,29 Thelma Ave,,,,Toronto C03,Forest Hill South,"$1,999,999",Detached,2-Storey,3,,2,Y,1,None,Central Air,Gas,12/29/2021,REAL ESTATE ADVI...,416-691-3000,2.50%,C5461613
New,,174 Betty Ann Dr,,,,Toronto C07,Willowdale West,"$2,029,999",Detached,Bungalow,3,,2,N,1,Attached,Central Air,Gas,1/6/2022,RE/MAX REALTRON ...,416-222-2600,"$15,000 + ...",C5465816
New,,97 Cocksfield Ave,,,,Toronto C06,Bathurst Manor,"$2,088,888",Detached,Backsplit 4,4,1,3,Y,1,Attached,Central Air,Gas,12/26/2021,RE/MAX REALTRON ...,416-782-8882,2.50%,C5460906
New,,192 Moore Ave,,,,Toronto C09,Rosedale-Moore Park,"$2,195,000",Detached,2-Storey,3,2,4,Y,1,Detached,Window Unit,Gas,1/10/2022,ROYAL LEPAGE REA...,416-424-4910,2.5% + Hst,C5468449
New,,12 Roycrest Ave,,,,Toronto C07,Lansing-Westgate,"$2,195,000",Detached,1 1/2 Storey,3,1,3,Y,1,Carport,Central Air,Gas,1/11/2022,SOLTANIAN REAL E...,416-901-8881,2.5% Plus ...,C5469282
New,,169 Charlton Blvd,,,,Toronto C07,Newtonbrook West,"$2,198,000",Detached,2-Storey,5,1,4,Y,1,Attached,Central Air,Gas,1/8/2022,CENTURY 21 VIP R...,905-300-9600,2.50%,C5467603
New,,201 Cameron Ave,,,,Toronto C07,Lansing-Westgate,"$2,199,000",Detached,2-Storey,4,1,4,Y,1,Detached,Central Air,Gas,1/10/2022,HARVEY KALLES RE...,416-441-2888,2.50%,C5468117
New,,374 Joicey Blvd,,,,Toronto C04,Bedford Park-Nortown,"$2,249,000",Detached,Bungalow,2,,2,Y,2,Detached,Central Air,Gas,12/30/2021,RE/MAX PREMIER I...,416-482-8662,2.50%,C5462184
New,,97 Clinton St,,,,Toronto C01,Palmerston-Little Italy,"$2,280,000",Semi-Detached,2 1/2 Storey,4,2,4,N,2,Detached,None,Gas,1/11/2022,HOMELIFE KINGSVI...,905-879-7653,2.5% -$250...,C5469579
New,,130 Baldwin St,,,,Toronto C01,Kensington-Chinatown,"$2,288,800",Att/Row/Twnhouse,3-Storey,8,2,4,N,2,None,Central Air,Gas,1/8/2022,RE/MAX PREMIER I...,416-987-8000,2.5% + Hst,C5468435
New,,163 Brunswick Ave,,,,Toronto C01,University,"$2,290,000",Semi-Detached,2-Storey,7,,3,N,2,None,None,Gas,11/25/2021,RIGHT AT HOME RE...,905-695-7888,2.50%,C5442496
New,,158 Northcliffe Blvd,,,,Toronto C03,Oakwood-Vaughan,"$2,372,000",Detached,3-Storey,5,1,5,Y,2,Detached,Central Air,Gas,11/22/2021,RE/MAX HALLMARK ...,416-485-7575,2.5%+Hst,C5438468
New,,662 Bathurst St,,,,Toronto C01,Palmerston-Little Italy,"$2,395,000",Att/Row/Twnhouse,3-Storey,3,1,3,N,1,None,Other,Gas,11/23/2021,HOMELIFE REGIONA...,416-535-3107,2.5% + Hst,C5439413
New,,78 Amelia St,,,,Toronto C08,Cabbagetown-South St. James Town,"$2,399,000",Semi-Detached,2 1/2 Storey,4,1,4,N,2,None,Wall Unit,Gas,1/10/2022,SOTHEBY`S INTERN...,416-960-9995,2.5% + Hst,C5469428
New,,270 Yonge Blvd,,,,Toronto C04,Bedford Park-Nortown,"$2,450,000",Detached,2-Storey,4,1,4,N,2,Attached,Central Air,Gas,12/1/2021,RE/MAX CROSSROAD...,905-305-0505,2.50%,C5445918
New,,419 Manning Ave,,,,Toronto C01,Palmerston-Little Italy,"$2,450,000",Multiplex,3-Storey,5,3,5,N,5,Detached,Central Air,Gas,12/1/2021,FREEMAN REAL EST...,416-535-3103,2.5% + Hst,C5446211
New,,189 Pinewood Ave,,,,Toronto C03,Humewood-Cedarvale,"$2,475,000",Semi-Detached,3-Storey,3,1,5,Y,1,Built-In,Central Air,Gas,10/5/2021,FOREST HILL REAL...,416-488-2875,2.50%,C5392959
New,,275 Vaughan Rd,,,,Toronto C03,Humewood-Cedarvale,"$2,475,000",Detached,3-Storey,3,1,5,Y,1,Built-In,Central Air,Gas,10/5/2021,FOREST HILL REAL...,416-488-2875,2.50%,C5392975
New,,13 Oaklands Ave,,,,Toronto C02,Yonge-St. Clair,"$2,495,000",Semi-Detached,3-Storey,5,,1,Y,1,None,Wall Unit,Gas,12/13/2021,CHESTNUT PARK RE...,416-925-9191,2.5% +Hst,C5455058
New,,150 Viewmount Ave,,,,Toronto C04,Englemount-Lawrence,"$2,499,000",Detached,Sidesplit 4,4,2,3,N,1,Built-In,Central Air,Gas,12/22/2021,WEISS REALTY LTD...,416-636-6800,2.5% + Hs...,C5460113
New,,335 Forman Ave,,,,Toronto C10,Mount Pleasant East,"$2,499,000",Detached,2-Storey,4,,4,Y,1,None,Central Air,Gas,1/10/2022,RE/MAX ULTIMATE ...,416-487-5131,2.5%+Hst,C5468051
New,,59 Corwin Cres,,,,Toronto C06,Clanton Park,"$2,499,000",Detached,2-Storey,6,4,6,Y,1,Attached,Central Air,Gas,1/12/2022,FOREST HILL REAL...,416-785-1500,2.50%,C5470164
New,,2 Blakeley Rd,,,,Toronto C07,Willowdale West,"$2,499,900",Detached,1 1/2 Storey,3,2,3,N,1,None,Central Air,Gas,11/2/2021,REAL WORLD REALT...,416-492-8818,2.50%,C5420667
New,,23 Dallas Rd,,,,Toronto C07,Newtonbrook West,"$2,500,000",Detached,2-Storey,4,,5,N,1,Built-In,Central Air,Gas,1/11/2022,ROYAL LEPAGE SUP...,416-535-8000,2.50%,C5469950
New,,108 Admiral Rd,,,,Toronto C02,Annex,"$2,650,000",Semi-Detached,3-Storey,4,2,6,N,5,None,None,Gas,12/10/2021,RE/MAX WEST REAL...,416-760-0600,2% ** Plus...,C5453374
New,,86 Winchester St,,,,Toronto C08,Cabbagetown-South St. James Town,"$2,688,000",Semi-Detached,2 1/2 Storey,4,2,5,Y,1,None,Central Air,Gas,10/16/2021,AIMHOME REALTY I...,416-490-0880,2.5% + Hst,C5404350
New,,226 Lawrence Ave W,,,,Toronto C04,Lawrence Park North,"$2,688,000",Detached,2-Storey,4,,4,N,1,None,Central Air,Gas,12/10/2021,HARVEY KALLES RE...,416-441-2888,2.50%,C5453890
New,,262 Spadina Rd,,,,Toronto C02,Casa Loma,"$2,749,000",Att/Row/Twnhouse,3-Storey,3,1,5,Y,1,Built-In,Central Air,Gas,12/16/2021,WORLD CLASS REAL...,416-444-7653,2.50%,C5456916
New,,44 Frontenac Ave,,,,Toronto C04,Bedford Park-Nortown,"$2,799,000",Detached,2-Storey,7,2,7,Y,2,Attached,Central Air,Gas,11/12/2021,HOMELIFE LANDMAR...,905-305-1600,2.50%,C5430932
New,,1086* Queen St W,,,,Toronto C01,Niagara,"$2,799,999",Store w/Apt/Offc,2-Storey,2,,1,N,1,None,None,Gas,12/13/2021,CENTURY 21 PARKL...,416-690-2121,2.5% + Hst,C5455288
New,,141B Bannockburn Ave,,,,Toronto C04,Bedford Park-Nortown,"$2,828,000",Detached,2-Storey,4,1,5,N,1,Attached,Central Air,Gas,12/9/2021,RE/MAX REALTRON ...,416-222-8600,2.5% +Hst,C5452933
New,,399 Connaught Ave,,,,Toronto C07,Newtonbrook West,"$2,835,000",Detached,2-Storey,4,3,5,Y,1,Built-In,None,Gas,12/21/2021,RE/MAX REALTRON ...,416-431-9200,2% +Hst,C5459845
New,,179 Dinnick Cres,,,,Toronto C04,Lawrence Park South,"$2,895,000",Detached,2-Storey,4,1,4,Y,2,Carport,Central Air,Gas,1/4/2022,HARVEY KALLES RE...,416-441-2888,2.5% + Hst,C5463850
New,,426 Soudan Ave,,,,Toronto C10,Mount Pleasant East,"$2,900,000",Detached,2-Storey,4,2,5,Y,1,Built-In,Central Air,Gas,12/23/2021,CENTURY 21 ATRIA...,416-203-8838,2.5% + Hst,C5460320
New,,28 Hillhurst Blvd,,,,Toronto C04,Lawrence Park South,"$2,980,000",Att/Row/Twnhouse,3-Storey,3,,3,Y,1,Built-In,Central Air,Gas,1/10/2022,RE/MAX REALTRON ...,416-222-8600,2.50%,C5469085
New,,243 Homewood Ave,,,,Toronto C07,Newtonbrook West,"$2,988,000",Detached,2-Storey,4,3,7,Y,1,Built-In,Central Air,Gas,1/10/2022,SOLTANIAN REAL E...,416-901-8881,2.5%-$499+...,C5468403
New,,67 Pembroke St,,,,Toronto C08,Moss Park,"$2,995,000",Detached,3-Storey,6,1,4,Y,2,None,Central Air,Gas,10/18/2021,FOREST HILL REAL...,416-488-2875,2.50%,C5405199
New,,283 Snowdon Ave,,,,Toronto C04,Lawrence Park North,"$2,998,000",Detached,2-Storey,3,,4,Y,1,Built-In,Central Air,Gas,1/11/2022,RE/MAX REALTRON ...,416-222-8600,2.50%,C5470065
New,,654 Crawford St,,,,Toronto C01,Palmerston-Little Italy,"$3,100,000",Semi-Detached,2 1/2 Storey,5,1,4,Y,1,Detached,Central Air,Gas,11/9/2021,CENTURY 21 PEOPL...,416-742-8000,2.25% Plus...,C5427185
New,,61 Roe Ave,,,,Toronto C04,Bedford Park-Nortown,"$3,100,000",Detached,2-Storey,4,1,4,Y,1,Attached,Central Air,Gas,1/6/2022,ROYAL LEPAGE YOU...,905-731-2000,2.5% + Hst,C5465602
New,,4 Oriole Gdns,,,,Toronto C02,Yonge-St. Clair,"$3,162,500",Detached,2 1/2 Storey,5,3,6,N,5,None,Central Air,Gas,11/3/2021,RE/MAX WEST REAL...,416-769-1616,2.5% + Hst,C5421195
New,,6 Oriole Gdns,,,,Toronto C02,Yonge-St. Clair,"$3,162,500",Detached,2 1/2 Storey,5,3,7,N,3,None,Window Unit,Gas,11/3/2021,RE/MAX WEST REAL...,416-769-1616,2.5% + Hst,C5421198
New,,77 Fairholme Ave,,,,Toronto C04,Englemount-Lawrence,"$3,195,000",Detached,2-Storey,5,2,7,Y,1,Built-In,Central Air,Gas,11/12/2021,HARVEY KALLES RE...,416-441-2888,2.5% + Hst,C5430811
New,,426 Roxton Rd,,,,Toronto C01,Palmerston-Little Italy,"$3,199,000",Detached,2 1/2 Storey,5,1,5,N,1,Detached,Central Air,Gas,1/10/2022,KELLER WILLIAMS ...,905-278-8866,2.5% + Hst,C5468536
New,,1069 College St,,,,Toronto C01,Little Portugal,"$3,200,000",Detached,2-Storey,3,1,5,N,3,Other,Central Air,Gas,11/10/2021,"THE AGENCY, BROK...",416-847-5288,2.50% Plus...,C5428011
New,,483 Ontario St,,,,Toronto C08,Cabbagetown-South St. James Town,"$3,228,800",Semi-Detached,2 1/2 Storey,4,,3,Y,3,None,None,Gas,11/27/2021,SOTHEBY`S INTERN...,888-413-0184,2.5% With ...,C5443375
New,,54 Croft St,,,,Toronto C01,University,"$3,250,000",Detached,2-Storey,3,1,3,N,1,Carport,Central Air,Gas,10/19/2021,RIGHT AT HOME RE...,416-391-3232,2.5% Plus ...,C5406378
New,,26 Nanton Ave,,,,Toronto C09,Rosedale-Moore Park,"$3,295,000",Semi-Detached,2 1/2 Storey,3,1,4,Y,1,None,Other,Gas,1/11/2022,CHESTNUT PARK RE...,416-925-9191,2.5% + Hst,C5469464
New,,19 Grange Ave,,,,Toronto C01,Kensington-Chinatown,"$3,350,000",Semi-Detached,3-Storey,5,3,4,N,3,Detached,Central Air,Gas,11/2/2021,RE/MAX HALLMARK ...,416-465-7850,2.25%+Hst ...,C5420531
New,,329 Sutherland Dr,,,,Toronto C11,Leaside,"$3,399,000",Detached,2-Storey,4,1,5,Y,1,Built-In,Central Air,Gas,11/20/2021,RE/MAX ULTIMATE ...,416-487-5131,2.5 % + Hs...,C5437917
New,,11 Muirkirk Rd,,,,Toronto C07,Willowdale West,"$3,500,000",Detached,Bungalow-Raised,2,2,7,Y,2,Attached,Central Air,Gas,9/26/2021,RE/MAX HALLMARK ...,416-494-7653,2.50%,C5384598
New,,103 Craighurst Ave,,,,Toronto C04,Lawrence Park South,"$3,500,000",Detached,2 1/2 Storey,4,1,5,Y,1,Built-In,Central Air,Gas,1/9/2022,HOMELIFE BEST CH...,416-590-2888,2.5% + Hst,C5467980
New,,11 Dornfell St,,,,Toronto C07,Newtonbrook West,"$3,548,888",Other,2-Storey,4,2,6,,1,Other,Central Air,Gas,1/4/2022,RE/MAX WEST EXPE...,905-499-8800,2.5% Plus ...,C5463494
